,tile_crack,toothbrush_small,crack_forest,cable_missing_train,MT_Blowhole_train,kos10,kos25,FabricDefectsAITEX,carpet,leather,capsule,metal_nut,pill,grid_thread,wood_scratch,zipper,bottle_large,bottle_small,hazelnut_crack_train,screw_scratch_neck_train,transistor_damaged_case_train,81.jpg_bright,81.jpg_dark,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,t_8,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,resin_cgp,window_cgp,resin_cgp_augmented,severstal,spule-upside-0315,spule-upside-0117,spule2-0816_Upside-dl1,spule2-0816_Upside-dl2,spule-upside-hole,spule-upside-hole256
tile_crack,1.0000001,0.26989985,0.36145353,0.22186542,0.20353472,0.26870248,0.22412479,0.27589485,0.32639334,0.22739221,0.18394418,0.21169105,0.2833121,0.32582146,0.25073576,0.23518771,0.12880066,0.12279036,0.27009192,0.21554688,0.23852281,0.17124467,0.17652245,0.15089826,0.17810625,0.18551481,0.17655672,0.17656957,0.15712883,0.25413552,0.26571,0.18407622,0.1539346,0.1539346,0.15583992,0.21975091,0.20037603,0.19191846,0.20084545,0.18916802,0.19706166,0.18975712
toothbrush_small,0.26989985,1.0000001,0.14311153,0.33405253,0.20036983,0.15839365,0.10679403,0.2229674,0.13705401,0.13183798,0.32537106,0.40944353,0.48957485,0.2386953,0.18520042,0.27536288,0.23539387,0.2201616,0.42646962,0.31445435,0.2949664,0.28264472,0.2704616,0.25370902,0.26860383,0.26350984,0.23749173,0.2711708,0.2785155,0.20207432,0.19600959,0.1623646,0.400562,0.400562,0.38637972,0.25361377,0.3495925,0.32833654,0.35270613,0.35709345,0.3218602,0.32236743
crack_forest,0.36145353,0.14311153,1.0000004,0.14062259,0.22244737,0.5632514,0.4741059,0.33020973,0.4328985,0.54373604,0.13682842,0.14691928,0.20620884,0.25526637,0.26961273,0.1901313,0.09239145,0.09380178,0.17444287,0.15898119,0.0945524,0.19707404,0.23234956,0.22806524,0.23650154,0.21741584,0.21418008,0.21920219,0.16224599,0.2488986,0.25101984,0.22853658,0.08913751,0.08913751,0.094565265,0.27159035,0.15079035,0.14340766,0.13136777,0.12143037,0.15261558,0.14417845
cable_missing_train,0.22186542,0.33405253,0.14062259,1.0000002,0.113826916,0.17410664,0.108018406,0.15809412,0.122035705,0.14161506,0.30966562,0.52661365,0.31024233,0.25050968,0.12516487,0.18460649,0.5476829,0.5033451,0.35484323,0.29059112,0.32469246,0.10156149,0.086884506,0.07004001,0.09842374,0.092261456,0.080744945,0.09250717,0.092592075,0.14991778,0.15824276,0.082276486,0.34277454,0.34277454,0.38180664,0.13206829,0.19918726,0.19933735,0.20064752,0.19151361,0.19198829,0.18623552
MT_Blowhole_train,0.20353472,0.20036983,0.22244737,0.113826916,1.0000004,0.28677124,0.28777528,0.4910992,0.41465765,0.30449894,0.15999712,0.18087074,0.2058719,0.24910367,0.5749832,0.35201058,0.14163557,0.14737986,0.3363712,0.2000039,0.24321102,0.60578614,0.60748756,0.5305059,0.6196509,0.6196858,0.6792302,0.57704234,0.5766473,0.5130234,0.4580908,0.6728181,0.24768345,0.24768345,0.21708344,0.833907,0.37590778,0.34838843,0.39713824,0.38181686,0.36343265,0.36981186
kos10,0.26870248,0.15839365,0.5632514,0.17410664,0.28677124,0.99999976,0.9070083,0.3752718,0.48371047,0.39475468,0.16672964,0.14777608,0.18903643,0.26857123,0.34205365,0.23889633,0.11043005,0.11755142,0.1366741,0.17615274,0.11496126,0.22200438,0.23169155,0.2242861,0.23659933,0.2063395,0.2273868,0.22095892,0.18009718,0.31702518,0.31429777,0.2734688,0.14351447,0.14351447,0.15593031,0.28707168,0.14603318,0.14619018,0.14076312,0.12748368,0.14851274,0.14736043
kos25,0.22412479,0.10679403,0.4741059,0.108018406,0.28777528,0.9070083,1.0,0.37607014,0.51489913,0.33137158,0.118907645,0.09462302,0.11916187,0.24086912,0.36686608,0.23932916,0.082095385,0.09106206,0.0915158,0.11588463,0.08352235,0.20258024,0.21686044,0.21725436,0.21693566,0.17992619,0.20609912,0.21309501,0.17845905,0.3323773,0.31805345,0.289637,0.098758295,0.098758295,0.10752017,0.25240713,0.14319621,0.14567919,0.13155793,0.11934147,0.14488882,0.14792305
FabricDefectsAITEX,0.27589485,0.2229674,0.33020973,0.15809412,0.4910992,0.3752718,0.37607014,0.9999999,0.5979265,0.46687624,0.18706875,0.26683185,0.22139765,0.55561393,0.36939618,0.5964737,0.22987449,0.26896897,0.2581099,0.16842443,0.18753107,0.3872721,0.4353878,0.39532074,0.4478886,0.3612961,0.4125752,0.42885077,0.4108922,0.40462,0.3682645,0.42499226,0.23764612,0.23764612,0.22034052,0.5053048,0.56044596,0.58093536,0.511078,0.48218802,0.5794086,0.5767917
carpet,0.32639334,0.13705401,0.4328985,0.122035705,0.41465765,0.48371047,0.51489913,0.5979265,1.0,0.41339272,0.12212929,0.14010307,0.16239515,0.36138627,0.34922984,0.31865454,0.11191042,0.12408345,0.14323673,0.13293767,0.11266603,0.2209523,0.30157685,0.2921684,0.30604985,0.2392319,0.2452722,0.28772235,0.25971404,0.36315084,0.33328265,0.36868677,0.11093105,0.11093105,0.11926385,0.34643456,0.23250797,0.23061094,0.21173343,0.19542032,0.23943654,0.22097118
leather,0.22739221,0.13183798,0.54373604,0.14161506,0.30449894,0.39475468,0.33137158,0.46687624,0.41339272,1.0000001,0.15648694,0.15493928,0.22771281,0.28692508,0.31829482,0.2705578,0.13700436,0.15213257,0.2728412,0.14987475,0.15424053,0.23034409,0.29816264,0.28419465,0.3070531,0.24744126,0.26063737,0.26936683,0.2488751,0.21951923,0.198142,0.2796476,0.10713969,0.10713969,0.114018746,0.3173901,0.19065642,0.18628466,0.16994756,0.15272057,0.20104983,0.19427013
capsule,0.18394418,0.32537106,0.13682842,0.30966562,0.15999712,0.16672964,0.118907645,0.18706875,0.12212929,0.15648694,1.0000004,0.2663423,0.31908175,0.1679014,0.16246687,0.22565278,0.28503448,0.2562338,0.36464322,0.36087728,0.30074522,0.1383346,0.12377875,0.11196556,0.12975273,0.10809711,0.11010946,0.12149008,0.142822,0.1458881,0.13774161,0.12585077,0.38598725,0.38598725,0.41961545,0.17712398,0.17670532,0.17865115,0.14954376,0.15149218,0.17100509,0.16753283
metal_nut,0.21169105,0.40944353,0.14691928,0.52661365,0.18087074,0.14777608,0.09462302,0.26683185,0.14010307,0.15493928,0.2663423,0.99999994,0.30642927,0.20763192,0.13847058,0.3144404,0.50727576,0.51844317,0.39087462,0.29762784,0.34106293,0.21858315,0.22083764,0.19231272,0.22866386,0.20657313,0.18596222,0.2154179,0.23317704,0.14685403,0.14214411,0.12341056,0.28890097,0.28890097,0.33758086,0.22537334,0.35945076,0.35017857,0.31043407,0.31175178,0.34901902,0.34651485
pill,0.2833121,0.48957485,0.20620884,0.31024233,0.2058719,0.18903643,0.11916187,0.22139765,0.16239515,0.22771281,0.31908175,0.30642927,0.9999999,0.26654997,0.17451102,0.20879339,0.2309092,0.19696388,0.455723,0.25179392,0.2506095,0.27473804,0.29638362,0.2648394,0.30624357,0.2915095,0.24815291,0.27778465,0.30297178,0.16691226,0.163513,0.15397313,0.3206113,0.3206113,0.31168225,0.2397592,0.26727596,0.24975474,0.2526867,0.25674164,0.26369926,0.25603777
grid_thread,0.32582146,0.2386953,0.25526637,0.25050968,0.24910367,0.26857123,0.24086912,0.55561393,0.36138627,0.28692508,0.1679014,0.20763192,0.26654997,1.0,0.20454355,0.31573525,0.19591308,0.20263635,0.2566978,0.22169775,0.21677625,0.19038248,0.21075703,0.1799212,0.22544347,0.19470893,0.2193516,0.2101925,0.23174745,0.2477246,0.2377734,0.2164374,0.1993289,0.1993289,0.20477888,0.25103912,0.39103144,0.4099086,0.4137745,0.38310918,0.3927557,0.381858
wood_scratch,0.25073576,0.18520042,0.26961273,0.12516487,0.5749832,0.34205365,0.36686608,0.36939618,0.34922984,0.31829482,0.16246687,0.13847058,0.17451102,0.20454355,0.99999976,0.273829,0.1283099,0.14125873,0.29273903,0.16241361,0.17334707,0.47341663,0.48666275,0.46619156,0.46767768,0.47472638,0.5192904,0.47587055,0.45404384,0.6782983,0.6369603,0.78645045,0.22049388,0.22049388,0.1915852,0.5064,0.23738371,0.23423618,0.24253581,0.2377705,0.23138918,0.2411002
zipper,0.23518771,0.27536288,0.1901313,0.18460649,0.35201058,0.23889633,0.23932916,0.5964737,0.31865454,0.2705578,0.22565278,0.3144404,0.20879339,0.31573525,0.273829,1.0000001,0.2405326,0.27396482,0.27506202,0.3141881,0.23383714,0.3050878,0.32701895,0.2749076,0.34855235,0.29585654,0.31132972,0.33520725,0.30628222,0.28301162,0.26367962,0.27990332,0.24209252,0.24209252,0.22896846,0.39281452,0.58693975,0.5785462,0.5011609,0.48683184,0.5826404,0.57647157
bottle_large,0.12880066,0.23539387,0.09239145,0.5476829,0.14163557,0.11043005,0.082095385,0.22987449,0.11191042,0.13700436,0.28503448,0.50727576,0.2309092,0.19591308,0.1283099,0.2405326,1.0,0.9618995,0.3393238,0.22344233,0.29347888,0.120253175,0.12902682,0.120032914,0.13738674,0.10606784,0.10415995,0.13049607,0.1565135,0.15983236,0.15383513,0.113820314,0.2901487,0.2901487,0.33687747,0.16815403,0.16370322,0.16211045,0.14931644,0.1514439,0.1611064,0.1567236
bottle_small,0.12279036,0.2201616,0.09380178,0.5033451,0.14737986,0.11755142,0.09106206,0.26896897,0.12408345,0.15213257,0.2562338,0.51844317,0.19696388,0.20263635,0.14125873,0.27396482,0.9618995,1.0000002,0.31916052,0.2120088,0.24730769,0.12125152,0.13492952,0.12783602,0.14263384,0.104352854,0.10383497,0.13666458,0.16647218,0.15854637,0.14898063,0.12278565,0.25833395,0.25833395,0.30995703,0.16909745,0.1664067,0.1702512,0.1430303,0.1448543,0.16622883,0.16342564
hazelnut_crack_train,0.27009192,0.42646962,0.17444287,0.35484323,0.3363712,0.1366741,0.0915158,0.2581099,0.14323673,0.2728412,0.36464322,0.39087462,0.455723,0.2566978,0.29273903,0.27506202,0.3393238,0.31916052,1.0,0.3442412,0.3324946,0.26546142,0.25469688,0.23125184,0.2566324,0.2566739,0.2379818,0.24543634,0.26716125,0.20979726,0.20179598,0.21669921,0.3392806,0.3392806,0.34744412,0.2919586,0.26613718,0.2616224,0.23344238,0.2334986,0.25929335,0.26045716
screw_scratch_neck_train,0.21554688,0.31445435,0.15898119,0.29059112,0.2000039,0.17615274,0.11588463,0.16842443,0.13293767,0.14987475,0.36087728,0.29762784,0.25179392,0.22169775,0.16241361,0.3141881,0.22344233,0.2120088,0.3442412,0.9999999,0.32251573,0.15193915,0.13016744,0.10657264,0.14553806,0.13189629,0.12387128,0.12494385,0.1394476,0.12983406,0.12774158,0.1173986,0.2696862,0.2696862,0.3103165,0.21926999,0.1862203,0.18427584,0.16740951,0.1658446,0.17669202,0.16806887
transistor_damaged_case_train,0.23852281,0.2949664,0.0945524,0.32469246,0.24321102,0.11496126,0.08352235,0.18753107,0.11266603,0.15424053,0.30074522,0.34106293,0.2506095,0.21677625,0.17334707,0.23383714,0.29347888,0.24730769,0.3324946,0.32251573,1.0000001,0.18272212,0.14845468,0.11064784,0.1689317,0.16437016,0.17503333,0.14894783,0.16411293,0.17614374,0.17812207,0.13070425,0.341734,0.341734,0.3318855,0.23568602,0.24543501,0.2324007,0.2773261,0.27883118,0.23444726,0.23370267
81.jpg_bright,0.17124467,0.28264472,0.19707404,0.10156149,0.60578614,0.22200438,0.20258024,0.3872721,0.2209523,0.23034409,0.1383346,0.21858315,0.27473804,0.19038248,0.47341663,0.3050878,0.120253175,0.12125152,0.26546142,0.15193915,0.18272212,1.0000001,0.9126656,0.87246096,0.88740444,0.92041105,0.8940191,0.9241637,0.8448224,0.53182393,0.49027863,0.6198081,0.24755995,0.24755995,0.21628083,0.6838676,0.49120057,0.46119025,0.49299347,0.48597914,0.47300974,0.47027823
81.jpg_dark,0.17652245,0.2704616,0.23234956,0.086884506,0.60748756,0.23169155,0.21686044,0.4353878,0.30157685,0.29816264,0.12377875,0.22083764,0.29638362,0.21075703,0.48666275,0.32701895,0.12902682,0.13492952,0.25469688,0.13016744,0.14845468,0.9126656,1.0000002,0.95816493,0.98065466,0.9481612,0.9074393,0.9669419,0.93130726,0.5492617,0.49232084,0.69819385,0.23196313,0.23196313,0.20662943,0.68084204,0.4856462,0.44624814,0.4879186,0.47583842,0.47373888,0.46036842
80.jpg_dark_1,0.15089826,0.25370902,0.22806524,0.07004001,0.5305059,0.2242861,0.21725436,0.39532074,0.2921684,0.28419465,0.11196556,0.19231272,0.2648394,0.1799212,0.46619156,0.2749076,0.120032914,0.12783602,0.23125184,0.10657264,0.11064784,0.87246096,0.95816493,1.0,0.89885825,0.8752292,0.81054306,0.9494307,0.89046127,0.5046379,0.44313562,0.6640695,0.19900416,0.19900416,0.17656477,0.5897592,0.41415986,0.39143142,0.40104392,0.38607177,0.40543866,0.39243528
80.jpg_dark_2,0.17810625,0.26860383,0.23650154,0.09842374,0.6196509,0.23659933,0.21693566,0.4478886,0.30604985,0.3070531,0.12975273,0.22866386,0.30624357,0.22544347,0.46767768,0.34855235,0.13738674,0.14263384,0.2566324,0.14553806,0.1689317,0.88740444,0.98065466,0.89885825,0.99999994,0.94302535,0.9126217,0.9401618,0.90701,0.5472009,0.49563813,0.6766612,0.24548846,0.24548846,0.22147502,0.70223606,0.51085985,0.46311146,0.5229428,0.5111691,0.49775702,0.48345968
80.jpg_dark_3,0.18551481,0.26350984,0.21741584,0.092261456,0.6196858,0.2063395,0.17992619,0.3612961,0.2392319,0.24744126,0.10809711,0.20657313,0.2915095,0.19470893,0.47472638,0.29585654,0.10606784,0.104352854,0.2566739,0.13189629,0.16437016,0.92041105,0.9481612,0.8752292,0.94302535,1.0000002,0.93993396,0.92719716,0.87613297,0.5501493,0.5157746,0.6609623,0.22393249,0.22393249,0.19581486,0.67851144,0.47088853,0.42595458,0.49047163,0.48492324,0.45175746,0.4431487
80.jpg_dark_4,0.17655672,0.23749173,0.21418008,0.080744945,0.6792302,0.2273868,0.20609912,0.4125752,0.2452722,0.26063737,0.11010946,0.18596222,0.24815291,0.2193516,0.5192904,0.31132972,0.10415995,0.10383497,0.2379818,0.12387128,0.17503333,0.8940191,0.9074393,0.81054306,0.9126217,0.93993396,1.0,0.8865546,0.83625185,0.63103753,0.58819664,0.7394281,0.24274635,0.24274635,0.19804001,0.7333404,0.4971347,0.45223,0.52898806,0.52183974,0.47948587,0.4792425
80.jpg_dark_5,0.17656957,0.2711708,0.21920219,0.09250717,0.57704234,0.22095892,0.21309501,0.42885077,0.28772235,0.26936683,0.12149008,0.2154179,0.27778465,0.2101925,0.47587055,0.33520725,0.13049607,0.13666458,0.24543634,0.12494385,0.14894783,0.9241637,0.9669419,0.9494307,0.9401618,0.92719716,0.8865546,0.9999999,0.89732635,0.579734,0.53036845,0.6801925,0.25148812,0.25148812,0.21542531,0.6534396,0.50383407,0.47392517,0.5000121,0.48718214,0.49080735,0.478242
t_8,0.15712883,0.2785155,0.16224599,0.092592075,0.5766473,0.18009718,0.17845905,0.4108922,0.25971404,0.2488751,0.142822,0.23317704,0.30297178,0.23174745,0.45404384,0.30628222,0.1565135,0.16647218,0.26716125,0.1394476,0.16411293,0.8448224,0.93130726,0.89046127,0.90701,0.87613297,0.83625185,0.89732635,0.9999999,0.56576955,0.5025576,0.6852019,0.29549563,0.29549563,0.26701674,0.63309085,0.48496738,0.44120562,0.4875827,0.48311815,0.464909,0.45774364
CF_RefSet,0.25413552,0.20207432,0.2488986,0.14991778,0.5130234,0.31702518,0.3323773,0.40462,0.36315084,0.21951923,0.1458881,0.14685403,0.16691226,0.2477246,0.6782983,0.28301162,0.15983236,0.15854637,0.20979726,0.12983406,0.17614374,0.53182393,0.5492617,0.5046379,0.5472009,0.5501493,0.63103753,0.579734,0.56576955,1.0000001,0.9829261,0.7975158,0.367765,0.367765,0.30113482,0.52518743,0.3140377,0.31240913,0.3366816,0.33095938,0.2999841,0.3134066
CF_RefSet_Small_Light,0.26571,0.19600959,0.25101984,0.15824276,0.4580908,0.31429777,0.31805345,0.3682645,0.33328265,0.198142,0.13774161,0.14214411,0.163513,0.2377734,0.6369603,0.26367962,0.15383513,0.14898063,0.20179598,0.12774158,0.17812207,0.49027863,0.49232084,0.44313562,0.49563813,0.5157746,0.58819664,0.53036845,0.5025576,0.9829261,0.99999964,0.7131492,0.364557,0.364557,0.29642287,0.4821424,0.29601806,0.29691976,0.32180896,0.31662554,0.2834336,0.29491368
CF_ReferenceSet_Small_Dark,0.18407622,0.1623646,0.22853658,0.082276486,0.6728181,0.2734688,0.289637,0.42499226,0.36868677,0.2796476,0.12585077,0.12341056,0.15397313,0.2164374,0.78645045,0.27990332,0.113820314,0.12278565,0.21669921,0.1173986,0.13070425,0.6198081,0.69819385,0.6640695,0.6766612,0.6609623,0.7394281,0.6801925,0.6852019,0.7975158,0.7131492,1.0000002,0.23602487,0.23602487,0.1839521,0.6345289,0.31462106,0.30108428,0.3269084,0.3151575,0.3023455,0.31645003
resin_cgp,0.1539346,0.400562,0.08913751,0.34277454,0.24768345,0.14351447,0.098758295,0.23764612,0.11093105,0.10713969,0.38598725,0.28890097,0.3206113,0.1993289,0.22049388,0.24209252,0.2901487,0.25833395,0.3392806,0.2696862,0.341734,0.24755995,0.23196313,0.19900416,0.24548846,0.22393249,0.24274635,0.25148812,0.29549563,0.367765,0.364557,0.23602487,1.0000001,1.0000001,0.93860596,0.26912326,0.29210165,0.2983265,0.29166037,0.29292268,0.28783134,0.29182708
window_cgp,0.1539346,0.400562,0.08913751,0.34277454,0.24768345,0.14351447,0.098758295,0.23764612,0.11093105,0.10713969,0.38598725,0.28890097,0.3206113,0.1993289,0.22049388,0.24209252,0.2901487,0.25833395,0.3392806,0.2696862,0.341734,0.24755995,0.23196313,0.19900416,0.24548846,0.22393249,0.24274635,0.25148812,0.29549563,0.367765,0.364557,0.23602487,1.0000001,1.0000001,0.93860596,0.26912326,0.29210165,0.2983265,0.29166037,0.29292268,0.28783134,0.29182708
resin_cgp_augmented,0.15583992,0.38637972,0.094565265,0.38180664,0.21708344,0.15593031,0.10752017,0.22034052,0.11926385,0.114018746,0.41961545,0.33758086,0.31168225,0.20477888,0.1915852,0.22896846,0.33687747,0.30995703,0.34744412,0.3103165,0.3318855,0.21628083,0.20662943,0.17656477,0.22147502,0.19581486,0.19804001,0.21542531,0.26701674,0.30113482,0.29642287,0.1839521,0.93860596,0.93860596,0.9999997,0.23468608,0.24893184,0.25403485,0.2427305,0.24406327,0.24514475,0.2449852
severstal,0.21975091,0.25361377,0.27159035,0.13206829,0.833907,0.28707168,0.25240713,0.5053048,0.34643456,0.3173901,0.17712398,0.22537334,0.2397592,0.25103912,0.5064,0.39281452,0.16815403,0.16909745,0.2919586,0.21926999,0.23568602,0.6838676,0.68084204,0.5897592,0.70223606,0.67851144,0.7333404,0.6534396,0.63309085,0.52518743,0.4821424,0.6345289,0.26912326,0.26912326,0.23468608,1.0000001,0.46306372,0.4230347,0.48913884,0.47609764,0.44337204,0.44676763
spule-upside-0315,0.20037603,0.3495925,0.15079035,0.19918726,0.37590778,0.14603318,0.14319621,0.56044596,0.23250797,0.19065642,0.17670532,0.35945076,0.26727596,0.39103144,0.23738371,0.58693975,0.16370322,0.1664067,0.26613718,0.1862203,0.24543501,0.49120057,0.4856462,0.41415986,0.51085985,0.47088853,0.4971347,0.50383407,0.48496738,0.3140377,0.29601806,0.31462106,0.29210165,0.29210165,0.24893184,0.46306372,1.0,0.96998835,0.901121,0.89281183,0.98673314,0.9803864
spule-upside-0117,0.19191846,0.32833654,0.14340766,0.19933735,0.34838843,0.14619018,0.14567919,0.58093536,0.23061094,0.18628466,0.17865115,0.35017857,0.24975474,0.4099086,0.23423618,0.5785462,0.16211045,0.1702512,0.2616224,0.18427584,0.2324007,0.46119025,0.44624814,0.39143142,0.46311146,0.42595458,0.45223,0.47392517,0.44120562,0.31240913,0.29691976,0.30108428,0.2983265,0.2983265,0.25403485,0.4230347,0.96998835,1.0000002,0.83002007,0.81032026,0.9813919,0.9841408
spule2-0816_Upside-dl1,0.20084545,0.35270613,0.13136777,0.20064752,0.39713824,0.14076312,0.13155793,0.511078,0.21173343,0.16994756,0.14954376,0.31043407,0.2526867,0.4137745,0.24253581,0.5011609,0.14931644,0.1430303,0.23344238,0.16740951,0.2773261,0.49299347,0.4879186,0.40104392,0.5229428,0.49047163,0.52898806,0.5000121,0.4875827,0.3366816,0.32180896,0.3269084,0.29166037,0.29166037,0.2427305,0.48913884,0.901121,0.83002007,0.9999998,0.99102443,0.8561014,0.84780675
spule2-0816_Upside-dl2,0.18916802,0.35709345,0.12143037,0.19151361,0.38181686,0.12748368,0.11934147,0.48218802,0.19542032,0.15272057,0.15149218,0.31175178,0.25674164,0.38310918,0.2377705,0.48683184,0.1514439,0.1448543,0.2334986,0.1658446,0.27883118,0.48597914,0.47583842,0.38607177,0.5111691,0.48492324,0.52183974,0.48718214,0.48311815,0.33095938,0.31662554,0.3151575,0.29292268,0.29292268,0.24406327,0.47609764,0.89281183,0.81032026,0.99102443,1.0,0.84187305,0.83450544
spule-upside-hole,0.19706166,0.3218602,0.15261558,0.19198829,0.36343265,0.14851274,0.14488882,0.5794086,0.23943654,0.20104983,0.17100509,0.34901902,0.26369926,0.3927557,0.23138918,0.5826404,0.1611064,0.16622883,0.25929335,0.17669202,0.23444726,0.47300974,0.47373888,0.40543866,0.49775702,0.45175746,0.47948587,0.49080735,0.464909,0.2999841,0.2834336,0.3023455,0.28783134,0.28783134,0.24514475,0.44337204,0.98673314,0.9813919,0.8561014,0.84187305,1.0000004,0.9918734
spule-upside-hole256,0.18975712,0.32236743,0.14417845,0.18623552,0.36981186,0.14736043,0.14792305,0.5767917,0.22097118,0.19427013,0.16753283,0.34651485,0.25603777,0.381858,0.2411002,0.57647157,0.1567236,0.16342564,0.26045716,0.16806887,0.23370267,0.47027823,0.46036842,0.39243528,0.48345968,0.4431487,0.4792425,0.478242,0.45774364,0.3134066,0.29491368,0.31645003,0.29182708,0.29182708,0.2449852,0.44676763,0.9803864,0.9841408,0.84780675,0.83450544,0.9918734,1.0000002
