,t_8,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,81.jpg_bright,81.jpg_dark,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest,spule-upside-0117-reduced,spule2-0816_Upside-dl1-reduced,spule2-0816_Upside-dl2-reduced
t_8,0.9999999,0.89046115,0.9070101,0.876133,0.8362518,0.89732623,0.84482247,0.93130726,0.41089222,0.18009718,0.57664734,0.45408478,0.45408478,0.47002625,0.15651351,0.16647217,0.14282203,0.259714,0.09259211,0.23174745,0.26716128,0.2331771,0.30297187,0.13944766,0.15712883,0.2785155,0.45404384,0.30628228,0.24887502,0.2954957,0.2670169,0.2954957,0.6330908,0.16411299,0.16224599,0.43326783,0.5166268,0.48279426
80.jpg_dark_1,0.89046115,1.0,0.89885825,0.8752291,0.81054306,0.94943064,0.8724611,0.95816475,0.3953208,0.22428612,0.5305059,0.3750731,0.3750731,0.3901786,0.12003289,0.12783597,0.11196559,0.29216847,0.070040025,0.17992122,0.2312519,0.19231275,0.26483947,0.10657266,0.1508983,0.253709,0.46619165,0.27490762,0.2841947,0.19900416,0.17656477,0.19900416,0.5897592,0.11064787,0.22806528,0.37790433,0.4140083,0.3666439
80.jpg_dark_2,0.9070101,0.89885825,0.99999994,0.9430253,0.9126217,0.9401618,0.88740444,0.9806547,0.44788873,0.23659933,0.6196509,0.4845516,0.4845516,0.49204704,0.1373867,0.14263378,0.12975277,0.30604988,0.09842379,0.22544345,0.25663245,0.22866388,0.30624354,0.14553808,0.17810622,0.26860383,0.46767765,0.34855247,0.307053,0.2454885,0.22147505,0.2454885,0.70223606,0.16893174,0.2365016,0.45597103,0.53557825,0.50679463
80.jpg_dark_3,0.876133,0.8752291,0.9430253,1.0000001,0.939934,0.9271972,0.9204111,0.9481612,0.36129615,0.20633951,0.61968595,0.44183993,0.44183993,0.45288226,0.10606781,0.104352824,0.10809713,0.23923187,0.092261456,0.19470891,0.25667393,0.20657313,0.29150948,0.13189629,0.18551482,0.26350975,0.47472647,0.2958566,0.2474412,0.22393253,0.19581497,0.22393253,0.6785114,0.1643702,0.21741585,0.4178133,0.5050446,0.48209625
80.jpg_dark_4,0.8362518,0.81054306,0.9126217,0.939934,0.99999994,0.8865546,0.89401907,0.9074393,0.41257516,0.2273868,0.6792302,0.47245467,0.47245467,0.49139127,0.104159914,0.103834935,0.11010948,0.24527213,0.08074497,0.2193516,0.23798183,0.18596217,0.24815291,0.12387128,0.1765567,0.2374917,0.5192904,0.31132963,0.26063737,0.24274638,0.19804004,0.24274638,0.7333403,0.17503333,0.21418016,0.44726783,0.5373001,0.5134664
80.jpg_dark_5,0.89732623,0.94943064,0.9401618,0.9271972,0.8865546,0.99999994,0.92416364,0.9669418,0.4288508,0.22095896,0.57704246,0.46795666,0.46795666,0.48041803,0.13049605,0.13666455,0.1214901,0.28772232,0.0925072,0.21019252,0.24543642,0.21541792,0.2777847,0.12494387,0.17656961,0.27117077,0.47587064,0.33520728,0.2693668,0.2514882,0.21542536,0.2514882,0.65343964,0.14894785,0.2192022,0.46275887,0.51064014,0.47507867
81.jpg_bright,0.84482247,0.8724611,0.88740444,0.9204111,0.89401907,0.92416364,1.0000001,0.9126656,0.38727197,0.2220044,0.60578614,0.4551049,0.4551049,0.47447756,0.120253146,0.12125147,0.1383346,0.22095229,0.1015615,0.1903824,0.2654614,0.21858318,0.27473807,0.15193918,0.17124465,0.28264472,0.4734166,0.30508783,0.23034398,0.24755996,0.21628089,0.24755996,0.6838675,0.18272212,0.197074,0.451138,0.50639385,0.4825925
81.jpg_dark,0.93130726,0.95816475,0.9806547,0.9481612,0.9074393,0.9669418,0.9126656,1.0000002,0.43538776,0.23169154,0.6074877,0.4524752,0.4524752,0.4646293,0.12902679,0.1349295,0.12377877,0.30157688,0.08688452,0.210757,0.2546969,0.22083764,0.29638365,0.13016742,0.17652242,0.2704616,0.48666275,0.32701898,0.2981626,0.23196314,0.20662947,0.23196314,0.6808421,0.14845471,0.23234954,0.43611467,0.5030869,0.46451193
FabricDefectsAITEX,0.41089222,0.3953208,0.44788873,0.36129615,0.41257516,0.4288508,0.38727197,0.43538776,0.99999976,0.37527165,0.4910993,0.55387944,0.55387944,0.56252193,0.22987452,0.26896897,0.18706879,0.59792644,0.15809415,0.555614,0.25810996,0.26683185,0.22139773,0.16842441,0.27589476,0.2229674,0.36939618,0.59647363,0.4668762,0.23764609,0.22034052,0.23764609,0.5053047,0.18753102,0.33020967,0.58452773,0.48246297,0.42619592
kos10,0.18009718,0.22428612,0.23659933,0.20633951,0.2273868,0.22095896,0.2220044,0.23169154,0.37527165,0.9999999,0.28677127,0.14147624,0.14147624,0.14036115,0.11043002,0.11755139,0.16672957,0.4837104,0.17410657,0.2685711,0.13667403,0.14777605,0.18903635,0.1761527,0.26870245,0.15839358,0.34205368,0.23889633,0.39475465,0.14351441,0.15593022,0.14351441,0.28707165,0.11496116,0.5632513,0.1477911,0.1346063,0.116849
MT_Blowhole_train,0.57664734,0.5305059,0.6196509,0.61968595,0.6792302,0.57704246,0.60578614,0.6074877,0.4910993,0.28677127,1.0000004,0.37306052,0.37306052,0.38769785,0.14163554,0.14737985,0.15999709,0.41465768,0.11382689,0.2491037,0.33637118,0.18087074,0.20587188,0.2000039,0.20353469,0.20036982,0.5749832,0.3520106,0.30449888,0.24768344,0.2170834,0.24768344,0.833907,0.24321097,0.22244732,0.352285,0.3975927,0.36984348
spule-upside-0315,0.45408478,0.3750731,0.4845516,0.44183993,0.47245467,0.46795666,0.4551049,0.4524752,0.55387944,0.14147624,0.37306052,1.0000002,1.0000002,0.99025536,0.1669828,0.16892828,0.17746568,0.22444013,0.19956055,0.39065793,0.2663085,0.3485296,0.26220638,0.18958293,0.18886138,0.33784315,0.23281085,0.5813149,0.18940632,0.2982077,0.25560996,0.2982077,0.44841087,0.26126447,0.14444655,0.9554003,0.8805407,0.866784
spule-upside-hole-reduced,0.45408478,0.3750731,0.4845516,0.44183993,0.47245467,0.46795666,0.4551049,0.4524752,0.55387944,0.14147624,0.37306052,1.0000002,1.0000002,0.99025536,0.1669828,0.16892828,0.17746568,0.22444013,0.19956055,0.39065793,0.2663085,0.3485296,0.26220638,0.18958293,0.18886138,0.33784315,0.23281085,0.5813149,0.18940632,0.2982077,0.25560996,0.2982077,0.44841087,0.26126447,0.14444655,0.9554003,0.8805407,0.866784
spule-upside-hole256-reduced,0.47002625,0.3901786,0.49204704,0.45288226,0.49139127,0.48041803,0.47447756,0.4646293,0.56252193,0.14036115,0.38769785,0.99025536,0.99025536,1.0000001,0.1610238,0.16538349,0.16867535,0.21270002,0.18892658,0.38668317,0.26474893,0.34516647,0.25677988,0.1782675,0.18605477,0.334976,0.24705008,0.5754999,0.18870169,0.2958005,0.24872838,0.2958005,0.46621993,0.25183234,0.13557537,0.9646865,0.87668824,0.8562267
bottle_large,0.15651351,0.12003289,0.1373867,0.10606781,0.104159914,0.13049605,0.120253146,0.12902679,0.22987452,0.11043002,0.14163554,0.1669828,0.1669828,0.1610238,1.0000002,0.9618996,0.28503445,0.11191043,0.5476831,0.19591305,0.33932382,0.50727576,0.23090923,0.22344235,0.12880063,0.23539387,0.1283099,0.24053262,0.13700438,0.29014868,0.33687744,0.29014868,0.16815408,0.2934789,0.092391446,0.16282417,0.1595989,0.16383839
bottle_small,0.16647217,0.12783597,0.14263378,0.104352824,0.103834935,0.13666455,0.12125147,0.1349295,0.26896897,0.11755139,0.14737985,0.16892828,0.16892828,0.16538349,0.9618996,1.0,0.25623378,0.12408344,0.50334513,0.20263632,0.31916055,0.5184431,0.19696388,0.21200882,0.12279038,0.22016153,0.1412587,0.2739648,0.15213254,0.25833395,0.309957,0.25833395,0.16909741,0.24730769,0.093801774,0.17187068,0.15277375,0.15728986
capsule,0.14282203,0.11196559,0.12975277,0.10809713,0.11010948,0.1214901,0.1383346,0.12377877,0.18706879,0.16672957,0.15999709,0.17746568,0.17746568,0.16867535,0.28503445,0.25623378,1.0000002,0.12212928,0.30966565,0.16790137,0.36464328,0.26634228,0.31908172,0.36087725,0.18394415,0.32537103,0.16246687,0.22565283,0.15648693,0.38598722,0.4196155,0.38598722,0.17712402,0.30074525,0.13682838,0.17876957,0.15005182,0.15782999
carpet,0.259714,0.29216847,0.30604988,0.23923187,0.24527213,0.28772232,0.22095229,0.30157688,0.59792644,0.4837104,0.41465768,0.22444013,0.22444013,0.21270002,0.11191043,0.12408344,0.12212928,1.0000002,0.12203568,0.36138636,0.1432367,0.14010307,0.1623951,0.13293765,0.3263933,0.13705395,0.3492299,0.3186546,0.41339275,0.11093101,0.11926385,0.11093101,0.3464346,0.11266602,0.4328985,0.22865129,0.20715234,0.18094636
cable_missing_train,0.09259211,0.070040025,0.09842379,0.092261456,0.08074497,0.0925072,0.1015615,0.08688452,0.15809415,0.17410657,0.11382689,0.19956055,0.19956055,0.18892658,0.5476831,0.50334513,0.30966565,0.12203568,1.0000004,0.2505097,0.3548433,0.52661383,0.31024238,0.2905912,0.22186539,0.3340525,0.12516487,0.1846065,0.14161505,0.34277463,0.38180673,0.34277463,0.13206832,0.32469252,0.14062257,0.20259406,0.1969101,0.19861726
grid_thread,0.23174745,0.17992122,0.22544345,0.19470891,0.2193516,0.21019252,0.1903824,0.210757,0.555614,0.2685711,0.2491037,0.39065793,0.39065793,0.38668317,0.19591305,0.20263632,0.16790137,0.36138636,0.2505097,1.0,0.25669777,0.20763195,0.26654997,0.22169779,0.32582143,0.2386952,0.20454347,0.31573522,0.28692502,0.1993289,0.2047789,0.1993289,0.2510391,0.21677624,0.25526634,0.41282627,0.39678,0.32433867
hazelnut_crack_train,0.26716128,0.2312519,0.25663245,0.25667393,0.23798183,0.24543642,0.2654614,0.2546969,0.25810996,0.13667403,0.33637118,0.2663085,0.2663085,0.26474893,0.33932382,0.31916055,0.36464328,0.1432367,0.3548433,0.25669777,1.0,0.39087474,0.45572305,0.34424123,0.270092,0.42646962,0.29273906,0.275062,0.2728412,0.33928066,0.34744406,0.33928066,0.29195863,0.33249465,0.17444281,0.26433665,0.24463686,0.25163218
metal_nut,0.2331771,0.19231275,0.22866388,0.20657313,0.18596217,0.21541792,0.21858318,0.22083764,0.26683185,0.14777605,0.18087074,0.3485296,0.3485296,0.34516647,0.50727576,0.5184431,0.26634228,0.14010307,0.52661383,0.20763195,0.39087474,1.0000002,0.30642933,0.29762793,0.21169105,0.40944353,0.13847056,0.31444046,0.15493926,0.28890103,0.3375809,0.28890103,0.22537337,0.34106293,0.14691925,0.3499286,0.32521734,0.32873926
pill,0.30297187,0.26483947,0.30624354,0.29150948,0.24815291,0.2777847,0.27473807,0.29638365,0.22139773,0.18903635,0.20587188,0.26220638,0.26220638,0.25677988,0.23090923,0.19696388,0.31908172,0.1623951,0.31024238,0.26654997,0.45572305,0.30642933,1.0000001,0.2517939,0.28331214,0.48957482,0.174511,0.20879343,0.22771278,0.32061136,0.31168216,0.32061136,0.23975922,0.2506095,0.20620878,0.24825639,0.2706198,0.26884535
screw_scratch_neck_train,0.13944766,0.10657266,0.14553808,0.13189629,0.12387128,0.12494387,0.15193918,0.13016742,0.16842441,0.1761527,0.2000039,0.18958293,0.18958293,0.1782675,0.22344235,0.21200882,0.36087725,0.13293765,0.2905912,0.22169779,0.34424123,0.29762793,0.2517939,1.0000001,0.21554688,0.31445432,0.1624136,0.3141881,0.14987475,0.2696862,0.31031647,0.2696862,0.21927004,0.32251576,0.1589812,0.18293218,0.17643027,0.1886668
tile_crack,0.15712883,0.1508983,0.17810622,0.18551482,0.1765567,0.17656961,0.17124465,0.17652242,0.27589476,0.26870245,0.20353469,0.18886138,0.18886138,0.18605477,0.12880063,0.12279038,0.18394415,0.3263933,0.22186539,0.32582143,0.270092,0.21169105,0.28331214,0.21554688,1.0000004,0.2698999,0.25073576,0.2351877,0.22739214,0.1539346,0.15583993,0.1539346,0.21975094,0.23852286,0.36145356,0.19009882,0.20293988,0.19084884
toothbrush_small,0.2785155,0.253709,0.26860383,0.26350975,0.2374917,0.27117077,0.28264472,0.2704616,0.2229674,0.15839358,0.20036982,0.33784315,0.33784315,0.334976,0.23539387,0.22016153,0.32537103,0.13705395,0.3340525,0.2386952,0.42646962,0.40944353,0.48957482,0.31445432,0.2698999,0.99999994,0.1852004,0.27536285,0.13183796,0.4005619,0.38637963,0.4005619,0.25361377,0.29496643,0.1431115,0.32489765,0.37138706,0.3726708
wood_scratch,0.45404384,0.46619165,0.46767765,0.47472647,0.5192904,0.47587064,0.4734166,0.48666275,0.36939618,0.34205368,0.5749832,0.23281085,0.23281085,0.24705008,0.1283099,0.1412587,0.16246687,0.3492299,0.12516487,0.20454347,0.29273906,0.13847056,0.174511,0.1624136,0.25073576,0.1852004,0.9999998,0.273829,0.3182947,0.2204939,0.19158523,0.2204939,0.5063999,0.17334703,0.2696127,0.23506737,0.24392597,0.22964266
zipper,0.30628228,0.27490762,0.34855247,0.2958566,0.31132963,0.33520728,0.30508783,0.32701898,0.59647363,0.23889633,0.3520106,0.5813149,0.5813149,0.5754999,0.24053262,0.2739648,0.22565283,0.3186546,0.1846065,0.31573522,0.275062,0.31444046,0.20879343,0.3141881,0.2351877,0.27536285,0.273829,1.0000002,0.27055776,0.24209255,0.22896846,0.24209255,0.39281458,0.23383714,0.19013126,0.5838714,0.49264508,0.48147732
leather,0.24887502,0.2841947,0.307053,0.2474412,0.26063737,0.2693668,0.23034398,0.2981626,0.4668762,0.39475465,0.30449888,0.18940632,0.18940632,0.18870169,0.13700438,0.15213254,0.15648693,0.41339275,0.14161505,0.28692502,0.2728412,0.15493926,0.22771278,0.14987475,0.22739214,0.13183796,0.3182947,0.27055776,0.99999994,0.10713966,0.11401876,0.10713966,0.3173901,0.15424047,0.543736,0.18826133,0.1614886,0.13639627
resin_cgp,0.2954957,0.19900416,0.2454885,0.22393253,0.24274638,0.2514882,0.24755996,0.23196314,0.23764609,0.14351441,0.24768344,0.2982077,0.2982077,0.2958005,0.29014868,0.25833395,0.38598722,0.11093101,0.34277463,0.1993289,0.33928066,0.28890103,0.32061136,0.2696862,0.1539346,0.4005619,0.2204939,0.24209255,0.10713966,0.99999994,0.9386059,0.99999994,0.26912332,0.34173402,0.08913748,0.30055612,0.29098886,0.2956593
resin_cgp_augmented,0.2670169,0.17656477,0.22147505,0.19581497,0.19804004,0.21542536,0.21628089,0.20662947,0.22034052,0.15593022,0.2170834,0.25560996,0.25560996,0.24872838,0.33687744,0.309957,0.4196155,0.11926385,0.38180673,0.2047789,0.34744406,0.3375809,0.31168216,0.31031647,0.15583993,0.38637963,0.19158523,0.22896846,0.11401876,0.9386059,0.9999998,0.9386059,0.23468614,0.33188552,0.094565235,0.2553997,0.24716803,0.25400653
window_cgp,0.2954957,0.19900416,0.2454885,0.22393253,0.24274638,0.2514882,0.24755996,0.23196314,0.23764609,0.14351441,0.24768344,0.2982077,0.2982077,0.2958005,0.29014868,0.25833395,0.38598722,0.11093101,0.34277463,0.1993289,0.33928066,0.28890103,0.32061136,0.2696862,0.1539346,0.4005619,0.2204939,0.24209255,0.10713966,0.99999994,0.9386059,0.99999994,0.26912332,0.34173402,0.08913748,0.30055612,0.29098886,0.2956593
severstal,0.6330908,0.5897592,0.70223606,0.6785114,0.7333403,0.65343964,0.6838675,0.6808421,0.5053047,0.28707165,0.833907,0.44841087,0.44841087,0.46621993,0.16815408,0.16909741,0.17712402,0.3464346,0.13206832,0.2510391,0.29195863,0.22537337,0.23975922,0.21927004,0.21975094,0.25361377,0.5063999,0.39281458,0.3173901,0.26912332,0.23468614,0.26912332,1.0000002,0.235686,0.27159035,0.42466974,0.5010172,0.47213215
transistor_damaged_case_train,0.16411299,0.11064787,0.16893174,0.1643702,0.17503333,0.14894785,0.18272212,0.14845471,0.18753102,0.11496116,0.24321097,0.26126447,0.26126447,0.25183234,0.2934789,0.24730769,0.30074525,0.11266602,0.32469252,0.21677624,0.33249465,0.34106293,0.2506095,0.32251576,0.23852286,0.29496643,0.17334703,0.23383714,0.15424047,0.34173402,0.33188552,0.34173402,0.235686,1.0000002,0.09455239,0.2374076,0.2817252,0.29643705
crack_forest,0.16224599,0.22806528,0.2365016,0.21741585,0.21418016,0.2192022,0.197074,0.23234954,0.33020967,0.5632513,0.22244732,0.14444655,0.14444655,0.13557537,0.092391446,0.093801774,0.13682838,0.4328985,0.14062257,0.25526634,0.17444281,0.14691925,0.20620878,0.1589812,0.36145356,0.1431115,0.2696127,0.19013126,0.543736,0.08913748,0.094565235,0.08913748,0.27159035,0.09455239,1.0000002,0.14336611,0.1284553,0.11361053
spule-upside-0117-reduced,0.43326783,0.37790433,0.45597103,0.4178133,0.44726783,0.46275887,0.451138,0.43611467,0.58452773,0.1477911,0.352285,0.9554003,0.9554003,0.9646865,0.16282417,0.17187068,0.17876957,0.22865129,0.20259406,0.41282627,0.26433665,0.3499286,0.24825639,0.18293218,0.19009882,0.32489765,0.23506737,0.5838714,0.18826133,0.30055612,0.2553997,0.30055612,0.42466974,0.2374076,0.14336611,1.0000001,0.795528,0.7607998
spule2-0816_Upside-dl1-reduced,0.5166268,0.4140083,0.53557825,0.5050446,0.5373001,0.51064014,0.50639385,0.5030869,0.48246297,0.1346063,0.3975927,0.8805407,0.8805407,0.87668824,0.1595989,0.15277375,0.15005182,0.20715234,0.1969101,0.39678,0.24463686,0.32521734,0.2706198,0.17643027,0.20293988,0.37138706,0.24392597,0.49264508,0.1614886,0.29098886,0.24716803,0.29098886,0.5010172,0.2817252,0.1284553,0.795528,1.0000001,0.9691351
spule2-0816_Upside-dl2-reduced,0.48279426,0.3666439,0.50679463,0.48209625,0.5134664,0.47507867,0.4825925,0.46451193,0.42619592,0.116849,0.36984348,0.866784,0.866784,0.8562267,0.16383839,0.15728986,0.15782999,0.18094636,0.19861726,0.32433867,0.25163218,0.32873926,0.26884535,0.1886668,0.19084884,0.3726708,0.22964266,0.48147732,0.13639627,0.2956593,0.25400653,0.2956593,0.47213215,0.29643705,0.11361053,0.7607998,0.9691351,0.99999976
