,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
t_8,0.9999999,0.65042293,0.5770255,0.6213393,0.6750822,0.6804314,0.6731766,0.93996507,0.83612114,0.9222044,0.76264143,0.6093609,0.74902093,0.59126234,0.7703199,0.7703199,0.7760192,0.69139546,0.71236396,0.5577745,0.93031937,0.6366787,0.93099964,0.59276384,0.6793284,0.56178427,0.61122066,0.71959686,0.6219845,0.71352,0.588393,0.76060313,0.65662104,0.65865177,0.65662104,0.6088462,0.62310743,0.6643782
80.jpg_bright,0.65042293,0.99999994,0.9946648,0.99869514,0.9970781,0.9862845,0.999368,0.7097493,0.77042246,0.6403018,0.9443392,0.9976302,0.96104085,0.99600637,0.9549468,0.9549468,0.96254045,0.980372,0.9696694,0.9929676,0.58619183,0.98731804,0.6772215,0.99611723,0.9879283,0.99244463,0.99624604,0.95449233,0.9911351,0.9845639,0.9903568,0.983878,0.9936571,0.9940696,0.9936571,0.9978491,0.98920906,0.9969092
80.jpg_dark_1,0.5770255,0.9946648,0.9999999,0.9968095,0.98647594,0.96986765,0.9908044,0.6337496,0.7050169,0.55856884,0.90941125,0.99568796,0.93152684,0.9967966,0.92176825,0.92176825,0.9309059,0.9602906,0.94481456,0.997775,0.500352,0.9755797,0.59839886,0.9956114,0.9714826,0.99527115,0.9930326,0.92542726,0.982724,0.9638912,0.9875539,0.96250105,0.9824822,0.98284024,0.9824822,0.99688804,0.9804315,0.98714936
80.jpg_dark_2,0.6213393,0.99869514,0.9968095,1.0,0.996237,0.98550475,0.99717414,0.68756485,0.7565097,0.6181436,0.93788975,0.99938166,0.9515266,0.99906707,0.9479364,0.9479364,0.95457405,0.9774159,0.9663123,0.99653375,0.5617639,0.98711693,0.6545029,0.99842817,0.98464257,0.9945704,0.998474,0.9473012,0.99133325,0.98070383,0.989482,0.9749099,0.9934731,0.99372315,0.9934731,0.99980026,0.9909112,0.9939308
80.jpg_dark_3,0.6750822,0.9970781,0.98647594,0.996237,1.0,0.9947665,0.9981642,0.7464131,0.80832356,0.6828807,0.9627448,0.99588853,0.96931714,0.9934733,0.9707008,0.9707008,0.9752552,0.9892803,0.9826891,0.987375,0.62972915,0.992124,0.715774,0.99380726,0.992844,0.98677504,0.9964322,0.96583694,0.9933644,0.9926865,0.9857429,0.9849823,0.9979307,0.9981553,0.9979307,0.99541724,0.9938607,0.9954943
80.jpg_dark_4,0.6804314,0.9862845,0.96986765,0.98550475,0.9947665,1.0000001,0.98921865,0.7800616,0.85262144,0.72452396,0.98173547,0.98784244,0.9814887,0.9841872,0.9856832,0.9856832,0.9866464,0.998043,0.99555,0.9763626,0.67135614,0.997057,0.7541468,0.9863316,0.9971036,0.97791946,0.9907391,0.9832343,0.9947992,0.9981712,0.98141634,0.9805833,0.9982254,0.9981129,0.9982254,0.9856613,0.9967999,0.99101526
80.jpg_dark_5,0.6731766,0.999368,0.9908044,0.99717414,0.9981642,0.98921865,1.0,0.73196685,0.7886704,0.664627,0.9526609,0.9958933,0.96758157,0.99366313,0.9629621,0.9629621,0.9702617,0.9839517,0.9748289,0.98898494,0.6121392,0.98824626,0.70069087,0.9938006,0.9901907,0.9884951,0.9949282,0.96060723,0.990894,0.9886259,0.9876974,0.9887945,0.9948575,0.995298,0.9948575,0.99600154,0.98963654,0.99782866
CF_RefSet,0.93996507,0.7097493,0.6337496,0.68756485,0.7464131,0.7800616,0.73196685,1.0000001,0.96975476,0.9943963,0.8767916,0.68696547,0.8454042,0.66829145,0.8715684,0.8715684,0.86515933,0.7983783,0.8251218,0.6369833,0.9864656,0.7461031,0.9981956,0.6757988,0.77678496,0.6476396,0.69569445,0.83917356,0.72517365,0.805451,0.6816535,0.8064469,0.7480319,0.7485636,0.7480319,0.6808368,0.72947043,0.73711866
CF_RefSet_Small_Light,0.83612114,0.77042246,0.7050169,0.7565097,0.80832356,0.85262144,0.7886704,0.96975476,1.0,0.96312493,0.93552035,0.7628063,0.899736,0.74698675,0.9246811,0.9246811,0.91278034,0.87092924,0.8954437,0.7214425,0.938505,0.8300497,0.96819943,0.7565945,0.8477579,0.7337252,0.77428794,0.9082586,0.80913395,0.8681878,0.7656578,0.8397667,0.8217257,0.82127994,0.8217257,0.7544103,0.81513083,0.8010347
CF_ReferenceSet_Small_Dark,0.9222044,0.6403018,0.55856884,0.6181436,0.6828807,0.72452396,0.664627,0.9943963,0.96312493,1.0,0.83604187,0.61881655,0.79504204,0.59918034,0.827229,0.827229,0.81735027,0.7448624,0.77653307,0.5651573,0.99662244,0.6875942,0.99779195,0.6074008,0.71856046,0.576511,0.6296444,0.79251254,0.66336906,0.75033,0.6132386,0.7445299,0.6873811,0.6876811,0.6873811,0.6116896,0.6699157,0.67144126
spule2-0816_Upside-dl1,0.76264143,0.9443392,0.90941125,0.93788975,0.9627448,0.98173547,0.9526609,0.8767916,0.93552035,0.83604187,0.99999994,0.9418516,0.9892773,0.9332127,0.99894,0.99894,0.9957264,0.9881338,0.99476963,0.91943836,0.791402,0.97264475,0.8584674,0.93871367,0.97989285,0.9259476,0.94757146,0.9929348,0.96389186,0.9871492,0.9410471,0.966495,0.96985525,0.9696659,0.96985525,0.937161,0.9661463,0.95888346
FabricDefectsAITEX,0.6093609,0.9976302,0.99568796,0.99938166,0.99588853,0.98784244,0.9958933,0.68696547,0.7628063,0.61881655,0.9418516,1.0000001,0.9547366,0.99952626,0.9506236,0.9506236,0.95619875,0.9809283,0.9701568,0.9976358,0.5611971,0.9910135,0.654774,0.99971086,0.987512,0.9967232,0.9996292,0.95269716,0.9947589,0.98257303,0.99278283,0.972673,0.9952256,0.99533504,0.9952256,0.9997836,0.99417126,0.9943692
kos10,0.74902093,0.96104085,0.93152684,0.9515266,0.96931714,0.9814887,0.96758157,0.8454042,0.899736,0.79504204,0.9892773,0.9547366,1.0,0.946223,0.9927854,0.9927854,0.9954713,0.9901543,0.99024546,0.9373653,0.7499857,0.9792445,0.8258039,0.9525059,0.9884937,0.9458813,0.95709676,0.99726075,0.9738658,0.9902694,0.9631895,0.98480725,0.97568816,0.9758864,0.97568816,0.9506441,0.9708065,0.9772101
MT_Blowhole_train,0.59126234,0.99600637,0.9967966,0.99906707,0.9934733,0.9841872,0.99366313,0.66829145,0.74698675,0.59918034,0.9332127,0.99952626,0.946223,1.0000001,0.9424062,0.9424062,0.94820905,0.9756849,0.96402234,0.99862325,0.5405587,0.9878129,0.635566,0.99947476,0.98276126,0.9965668,0.9990213,0.94446766,0.9921993,0.9773437,0.9905187,0.9667798,0.99261296,0.99269265,0.99261296,0.99970293,0.9922655,0.9914879
spule-upside-0315,0.7703199,0.9549468,0.92176825,0.9479364,0.9707008,0.9856832,0.9629621,0.8715684,0.9246811,0.827229,0.99894,0.9506236,0.9927854,0.9424062,0.9999999,0.9999999,0.9988745,0.9909424,0.9958047,0.92905617,0.78294,0.9765565,0.8518576,0.9471165,0.9846205,0.93466073,0.9552333,0.9934305,0.96902645,0.99163204,0.9485088,0.9770556,0.9757401,0.97573674,0.9757401,0.94671094,0.97066545,0.96805143
spule-upside-hole-reduced,0.7703199,0.9549468,0.92176825,0.9479364,0.9707008,0.9856832,0.9629621,0.8715684,0.9246811,0.827229,0.99894,0.9506236,0.9927854,0.9424062,0.9999999,0.9999999,0.9988745,0.9909424,0.9958047,0.92905617,0.78294,0.9765565,0.8518576,0.9471165,0.9846205,0.93466073,0.9552333,0.9934305,0.96902645,0.99163204,0.9485088,0.9770556,0.9757401,0.97573674,0.9757401,0.94671094,0.97066545,0.96805143
spule-upside-hole256-reduced,0.7760192,0.96254045,0.9309059,0.95457405,0.9752552,0.9866464,0.9702617,0.86515933,0.91278034,0.81735027,0.9957264,0.95619875,0.9954713,0.94820905,0.9988745,0.9988745,0.9999999,0.99149334,0.9944334,0.9356106,0.7736366,0.9781222,0.84448624,0.9524614,0.987262,0.9408481,0.9596065,0.9930062,0.9717744,0.9936158,0.9542726,0.9856375,0.97867507,0.97886324,0.97867507,0.9529136,0.972325,0.97499657
bottle_large,0.69139546,0.980372,0.9602906,0.9774159,0.9892803,0.998043,0.9839517,0.7983783,0.87092924,0.7448624,0.9881338,0.9809283,0.9901543,0.9756849,0.9909424,0.9909424,0.99149334,0.99999994,0.9984005,0.9682271,0.6927882,0.99659187,0.77437603,0.979723,0.99854743,0.97272086,0.98402476,0.9923469,0.9932827,0.9988801,0.98094374,0.9813315,0.99484986,0.9947221,0.99484986,0.97769225,0.99345136,0.9888976
bottle_small,0.71236396,0.9696694,0.94481456,0.9663123,0.9826891,0.99555,0.9748289,0.8251218,0.8954437,0.77653307,0.99476963,0.9701568,0.99024546,0.96402234,0.9958047,0.9958047,0.9944334,0.9984005,1.0000001,0.9541337,0.7263484,0.99113137,0.8030059,0.9683529,0.9940574,0.95886695,0.9745153,0.9939387,0.9857757,0.9970267,0.96866584,0.9761189,0.9890541,0.98883945,0.9890541,0.96641046,0.9873915,0.97986275
capsule,0.5577745,0.9929676,0.997775,0.99653375,0.987375,0.9763626,0.98898494,0.6369833,0.7214425,0.5651573,0.91943836,0.9976358,0.9373653,0.99862325,0.92905617,0.92905617,0.9356106,0.9682271,0.9541337,0.99999994,0.50464207,0.98380804,0.6033514,0.99860483,0.9773877,0.9987817,0.996391,0.9359537,0.9896835,0.9688446,0.9924331,0.95819175,0.9872033,0.9872581,0.9872033,0.9977235,0.9880726,0.9878623
carpet,0.93031937,0.58619183,0.500352,0.5617639,0.62972915,0.67135614,0.6121392,0.9864656,0.938505,0.99662244,0.791402,0.5611971,0.7499857,0.5405587,0.78294,0.78294,0.7736366,0.6927882,0.7263484,0.50464207,0.9999998,0.6312205,0.9922875,0.54860556,0.66563684,0.51604706,0.57184136,0.74464595,0.6060066,0.70006865,0.554572,0.70055866,0.6324994,0.63298094,0.6324994,0.55429894,0.61252147,0.6183398
cable_missing_train,0.6366787,0.98731804,0.9755797,0.98711693,0.992124,0.997057,0.98824626,0.7461031,0.8300497,0.6875942,0.97264475,0.9910135,0.9792445,0.9878129,0.9765565,0.9765565,0.9781222,0.99659187,0.99113137,0.98380804,0.6312205,0.99999994,0.7197976,0.99117595,0.9979734,0.9872066,0.993223,0.982388,0.9992343,0.9944753,0.9915084,0.97517025,0.99795353,0.9977453,0.99795353,0.9883191,0.9988922,0.9929236
grid_thread,0.93099964,0.6772215,0.59839886,0.6545029,0.715774,0.7541468,0.70069087,0.9981956,0.96819943,0.99779195,0.8584674,0.654774,0.8258039,0.635566,0.8518576,0.8518576,0.84448624,0.77437603,0.8030059,0.6033514,0.9922875,0.7197976,1.0,0.64371294,0.7508442,0.6148305,0.66430825,0.82080954,0.69713825,0.7804215,0.6513393,0.77993953,0.71982586,0.72026676,0.71982586,0.64806026,0.70209336,0.7084078
hazelnut_crack_train,0.59276384,0.99611723,0.9956114,0.99842817,0.99380726,0.9863316,0.9938006,0.6757988,0.7565945,0.6074008,0.93871367,0.99971086,0.9525059,0.99947476,0.9471165,0.9471165,0.9524614,0.979723,0.9683529,0.99860483,0.54860556,0.99117595,0.64371294,1.0,0.98660344,0.998125,0.9993753,0.95154864,0.99517494,0.98040503,0.9942309,0.9685981,0.99421906,0.9942558,0.99421906,0.99927247,0.9942574,0.9931945
metal_nut,0.6793284,0.9879283,0.9714826,0.98464257,0.992844,0.9971036,0.9901907,0.77678496,0.8477579,0.71856046,0.97989285,0.987512,0.9884937,0.98276126,0.9846205,0.9846205,0.987262,0.99854743,0.9940574,0.9773877,0.66563684,0.9979734,0.7508442,0.98660344,1.0,0.98189026,0.9892246,0.98841804,0.9966237,0.9981655,0.989111,0.9854794,0.99695855,0.99697393,0.99695855,0.98479474,0.99501204,0.99469215
pill,0.56178427,0.99244463,0.99527115,0.9945704,0.98677504,0.97791946,0.9884951,0.6476396,0.7337252,0.576511,0.9259476,0.9967232,0.9458813,0.9965668,0.93466073,0.93466073,0.9408481,0.97272086,0.95886695,0.9987817,0.51604706,0.9872066,0.6148305,0.998125,0.98189026,1.0000001,0.9955365,0.9451139,0.99265146,0.9721351,0.99701536,0.9607921,0.98817176,0.9881993,0.98817176,0.99595505,0.9892823,0.98963016
screw_scratch_neck_train,0.61122066,0.99624604,0.9930326,0.998474,0.9964322,0.9907391,0.9949282,0.69569445,0.77428794,0.6296444,0.94757146,0.9996292,0.95709676,0.9990213,0.9552333,0.9552333,0.9596065,0.98402476,0.9745153,0.996391,0.57184136,0.993223,0.66430825,0.9993753,0.9892246,0.9955365,0.9999999,0.9566582,0.99610084,0.9849803,0.99191844,0.97167355,0.99677384,0.99678075,0.99677384,0.99908847,0.9963739,0.9937461
tile_crack,0.71959686,0.95449233,0.92542726,0.9473012,0.96583694,0.9832343,0.96060723,0.83917356,0.9082586,0.79251254,0.9929348,0.95269716,0.99726075,0.94446766,0.9934305,0.9934305,0.9930062,0.9923469,0.9939387,0.9359537,0.74464595,0.982388,0.82080954,0.95154864,0.98841804,0.9451139,0.9566582,0.9999999,0.9758954,0.98939824,0.9624728,0.97275865,0.97573924,0.9755873,0.97573924,0.94762295,0.97412926,0.97180384
toothbrush_small,0.6219845,0.9911351,0.982724,0.99133325,0.9933644,0.9947992,0.990894,0.72517365,0.80913395,0.66336906,0.96389186,0.9947589,0.9738658,0.9921993,0.96902645,0.96902645,0.9717744,0.9932827,0.9857757,0.9896835,0.6060066,0.9992343,0.69713825,0.99517494,0.9966237,0.99265146,0.99610084,0.9758954,0.99999994,0.9916229,0.99532396,0.97453433,0.9979774,0.9978388,0.9979774,0.9925221,0.99878716,0.9946459
wood_scratch,0.71352,0.9845639,0.9638912,0.98070383,0.9926865,0.9981712,0.9886259,0.805451,0.8681878,0.75033,0.9871492,0.98257303,0.9902694,0.9773437,0.99163204,0.99163204,0.9936158,0.9988801,0.9970267,0.9688446,0.70006865,0.9944753,0.7804215,0.98040503,0.9981655,0.9721351,0.9849803,0.98939824,0.9916229,0.9999999,0.9792948,0.98824084,0.9955132,0.9955836,0.9955132,0.98011684,0.9919244,0.99146837
zipper,0.588393,0.9903568,0.9875539,0.989482,0.9857429,0.98141634,0.9876974,0.6816535,0.7656578,0.6132386,0.9410471,0.99278283,0.9631895,0.9905187,0.9485088,0.9485088,0.9542726,0.98094374,0.96866584,0.9924331,0.554572,0.9915084,0.6513393,0.9942309,0.989111,0.99701536,0.99191844,0.9624728,0.99532396,0.9792948,0.99999994,0.96886903,0.98942095,0.9894616,0.98942095,0.99080265,0.9900527,0.9924721
leather,0.76060313,0.983878,0.96250105,0.9749099,0.9849823,0.9805833,0.9887945,0.8064469,0.8397667,0.7445299,0.966495,0.972673,0.98480725,0.9667798,0.9770556,0.9770556,0.9856375,0.9813315,0.9761189,0.95819175,0.70055866,0.97517025,0.77993953,0.9685981,0.9854794,0.9607921,0.97167355,0.97275865,0.97453433,0.98824084,0.96886903,1.0,0.98151296,0.9822944,0.98151296,0.9720514,0.9716632,0.9897865
resin_cgp,0.65662104,0.9936571,0.9824822,0.9934731,0.9979307,0.9982254,0.9948575,0.7480319,0.8217257,0.6873811,0.96985525,0.9952256,0.97568816,0.99261296,0.9757401,0.9757401,0.97867507,0.99484986,0.9890541,0.9872033,0.6324994,0.99795353,0.71982586,0.99421906,0.99695855,0.98817176,0.99677384,0.97573924,0.9979774,0.9955132,0.98942095,0.98151296,0.9999999,0.99998844,0.9999999,0.99371535,0.9986348,0.9958469
resin_cgp_augmented,0.65865177,0.9940696,0.98284024,0.99372315,0.9981553,0.9981129,0.995298,0.7485636,0.82127994,0.6876811,0.9696659,0.99533504,0.9758864,0.99269265,0.97573674,0.97573674,0.97886324,0.9947221,0.98883945,0.9872581,0.63298094,0.9977453,0.72026676,0.9942558,0.99697393,0.9881993,0.99678075,0.9755873,0.9978388,0.9955836,0.9894616,0.9822944,0.99998844,1.0,0.99998844,0.99388385,0.9984014,0.9961772
window_cgp,0.65662104,0.9936571,0.9824822,0.9934731,0.9979307,0.9982254,0.9948575,0.7480319,0.8217257,0.6873811,0.96985525,0.9952256,0.97568816,0.99261296,0.9757401,0.9757401,0.97867507,0.99484986,0.9890541,0.9872033,0.6324994,0.99795353,0.71982586,0.99421906,0.99695855,0.98817176,0.99677384,0.97573924,0.9979774,0.9955132,0.98942095,0.98151296,0.9999999,0.99998844,0.9999999,0.99371535,0.9986348,0.9958469
severstal,0.6088462,0.9978491,0.99688804,0.99980026,0.99541724,0.9856613,0.99600154,0.6808368,0.7544103,0.6116896,0.937161,0.9997836,0.9506441,0.99970293,0.94671094,0.94671094,0.9529136,0.97769225,0.96641046,0.9977235,0.55429894,0.9883191,0.64806026,0.99927247,0.98479474,0.99595505,0.99908847,0.94762295,0.9925221,0.98011684,0.99080265,0.9720514,0.99371535,0.99388385,0.99371535,1.0,0.9921883,0.99350417
transistor_damaged_case_train,0.62310743,0.98920906,0.9804315,0.9909112,0.9938607,0.9967999,0.98963654,0.72947043,0.81513083,0.6699157,0.9661463,0.99417126,0.9708065,0.9922655,0.97066545,0.97066545,0.972325,0.99345136,0.9873915,0.9880726,0.61252147,0.9988922,0.70209336,0.9942574,0.99501204,0.9892823,0.9963739,0.97412926,0.99878716,0.9919244,0.9900527,0.9716632,0.9986348,0.9984014,0.9986348,0.9921883,1.0,0.99234116
crack_forest,0.6643782,0.9969092,0.98714936,0.9939308,0.9954943,0.99101526,0.99782866,0.73711866,0.8010347,0.67144126,0.95888346,0.9943692,0.9772101,0.9914879,0.96805143,0.96805143,0.97499657,0.9888976,0.97986275,0.9878623,0.6183398,0.9929236,0.7084078,0.9931945,0.99469215,0.98963016,0.9937461,0.97180384,0.9946459,0.99146837,0.9924721,0.9897865,0.9958469,0.9961772,0.9958469,0.99350417,0.99234116,0.9999999
